Maze,Fish_ID,Trial_ID,Trajectory,D_Point,Total_time
GRAVEL,9,18,12.23301148,D1,900
GRAVEL,9,19,20.66369979,D1,900
GRAVEL,9,20,14.05286258,D2,743
GRAVEL,10,1,30.45771381,D2,900
GRAVEL,10,2,27.97368348,D1,900
GRAVEL,10,3,14.63395298,D2,900
GRAVEL,10,4,27.26515544,D2,900
GRAVEL,10,5,18.49616791,D1,900
GRAVEL,10,6,35.02044829,D2,900
GRAVEL,10,7,38.49135128,D3,900
GRAVEL,10,8,28.57616453,D1,900
GRAVEL,10,9,26.31479424,D2,900
GRAVEL,10,10,19.75836811,D1,900
GRAVEL,10,11,26.02938093,D2,900
GRAVEL,10,12,19.00959978,D1,900
GRAVEL,10,13,7.937524356,D1,900
GRAVEL,10,14,25.69303407,D2,900
GRAVEL,10,15,16.39866794,D5,846
GRAVEL,10,16,19.09884153,D1,900
GRAVEL,10,17,20.85756841,D2,900
GRAVEL,10,18,23.19840169,D1,900
GRAVEL,10,19,16.32609498,D1,900
GRAVEL,10,20,19.16062879,D1,900
GREEN,1,1,NA,D5,141
GREEN,1,2,9.970072356,D0,900
GREEN,1,3,9.288770184,D2,900
GREEN,1,4,11.33042226,D1,900
GREEN,1,5,13.73387966,D1,900
GREEN,1,6,15.59368666,D2,900
GREEN,1,7,14.82186073,D3,900
GREEN,1,8,8.105678344,D3,900
GREEN,1,9,8.406835561,D1,900
GREEN,1,10,11.57354019,D3,900
GREEN,1,11,10.63744923,D5,389
GREEN,1,12,8.6986822,D3,900
GREEN,1,13,7.842098519,D5,275
GREEN,1,14,6.253270973,D4,900
GREEN,1,15,5.059746749,D5,610
GREEN,1,16,3.911738351,D5,250
GREEN,1,17,16.73609886,D4,900
GREEN,1,18,12.50499568,D4,900
GREEN,1,19,5.757735484,D3,900
GREEN,1,20,10.12119434,D2,900
GREEN,2,1,16.94795723,D2,900
GREEN,2,2,30.73144409,D1,900
GREEN,2,3,16.62850587,D1,900
GREEN,2,4,16.57263005,D1,900
GREEN,2,5,21.49513032,D1,900
GREEN,2,6,20.2064996,D2,900
GREEN,2,7,33.78262397,D1,900
GREEN,2,8,11.90985932,D0,900
GREEN,2,9,12.07682584,D1,900
GREEN,2,10,11.09332627,D1,900
GREEN,2,11,12.13704152,D3,900
GREEN,2,12,11.90461167,D1,900
GREEN,2,13,8.296071515,D1,900
GREEN,2,14,17.51164697,D2,900
GREEN,2,15,11.23121733,D1,900
GREEN,2,16,22.25107061,D1,900
GREEN,2,17,9.021945851,D1,900
GREEN,2,18,21.85297798,D2,900
GREEN,2,19,12.34500226,D1,900
GREEN,2,20,23.71268931,D2,900
GREEN,3,1,26.23815417,D3,900
GREEN,3,2,15.71157486,D2,900
GREEN,3,3,14.80562969,D2,900
GREEN,3,4,15.31307812,D2,900
GREEN,3,5,19.35427047,D2,900
GREEN,3,6,10.69990038,D1,900
GREEN,3,7,14.18642868,D3,900
GREEN,3,8,15.89958934,D2,900
GREEN,3,9,10.88750233,D2,900
GREEN,3,10,9.058192153,D1,900
GREEN,3,11,8.874611043,D1,900
GREEN,3,12,9.971381287,D3,900
GREEN,3,13,12.93590145,D2,900
GREEN,3,14,16.13694677,D2,900
GREEN,3,15,13.35503385,D2,900
GREEN,3,16,10.47092092,D2,900
GREEN,3,17,9.498806819,D1,900
GREEN,3,18,13.57075662,D2,900
GREEN,3,19,13.96451098,D2,900
GREEN,3,20,0.81916127,D1,152
GREEN,4,1,37.35534407,D3,900
GREEN,4,2,33.94241937,D5,848
GREEN,4,3,20.89072663,D3,900
GREEN,4,4,25.14374632,D2,900
GREEN,4,5,25.29542985,D1,900
GREEN,4,6,19.25199386,D3,900
GREEN,4,7,17.90932543,D5,630
GREEN,4,8,20.01487964,D3,900
GREEN,4,9,30.02475127,D3,900
GREEN,4,10,3.393046637,D5,93
GREEN,4,11,27.22092004,D2,900
GREEN,4,12,21.42444443,D5,726
GREEN,4,13,26.66614447,D2,900
GREEN,4,14,20.15110418,D3,900
GREEN,4,15,25.66690395,D3,900
GREEN,4,16,25.63098272,D1,900
GREEN,4,17,25.43706646,D1,900
GREEN,4,18,24.71672812,D2,900
GREEN,4,19,29.95779176,D2,900
GREEN,4,20,23.1796599,D3,900
GREEN,5,1,24.79330043,D3,900
GREEN,5,2,22.87449501,D3,900
GREEN,5,3,20.35302863,D3,900
GREEN,5,4,22.77742988,D4,900
GREEN,5,5,19.64640193,D2,900
GREEN,5,6,13.01169955,D2,900
GREEN,5,7,14.54804231,D2,900
GREEN,5,8,12.38128095,D2,900
GREEN,5,9,15.31071689,D2,900
GREEN,5,10,14.81542924,D2,900
GREEN,5,11,13.17132087,D3,900
GREEN,5,12,14.26375928,D2,900
GREEN,5,13,13.39810126,D2,900
GREEN,5,14,13.35501241,D2,900
GREEN,5,15,15.11863819,D2,900
GREEN,5,16,16.15373478,D2,900
GREEN,5,17,15.94972861,D3,900
GREEN,5,18,15.19143198,D2,900
GREEN,5,19,11.04715388,D1,900
GREEN,5,20,18.32499161,D2,900
GREEN,6,1,23.27724291,D3,900
GREEN,6,2,21.19992442,D3,900
GREEN,6,3,19.56078085,D5,847
GREEN,6,4,17.46907696,D2,900
GREEN,6,5,17.84161511,D3,900
GREEN,6,6,NA,D2,900
GREEN,6,7,17.48847858,D2,900
GREEN,6,8,19.63870803,D3,900
GREEN,6,9,2.425326383,D1,900
GREEN,6,10,8.0168764,D2,900
GREEN,6,11,NA,NA,900
GREEN,6,12,16.71644905,D2,900
GREEN,6,13,12.46525907,D2,900
GREEN,6,14,12.79986689,D2,900
GREEN,6,15,0.570455065,D0,900
GREEN,6,16,1.696450776,D1,900
GREEN,6,17,6.132925358,D3,900
GREEN,6,18,10.35788917,D2,900
GREEN,6,19,0.876649368,D0,900
GREEN,6,20,NA,NA,900
GREEN,7,1,18.56282965,D1,900
GREEN,7,2,11.30681326,D1,900
GREEN,7,3,15.64384247,D1,900
GREEN,7,4,10.0438758,D1,900
GREEN,7,5,9.92311067,D1,900
GREEN,7,6,8.224645681,D1,900
GREEN,7,7,4.173912034,D1,900
GREEN,7,8,4.547304924,D1,900
GREEN,7,9,6.9168962,D1,900
GREEN,7,10,8.229885553,D2,900
GREEN,7,11,NA,NA,900
GREEN,7,12,3.363207234,D1,900
GREEN,7,13,8.195424683,D1,900
GREEN,7,14,4.152202895,D1,900
GREEN,7,15,4.316959457,D2,900
GREEN,7,16,4.140845994,D1,900
GREEN,7,17,3.161944552,D1,900
GREEN,7,18,11.00547947,D3,900
GREEN,7,19,5.585995283,D1,900
GREEN,7,20,5.269433182,D1,900
GREEN,8,1,24.37250889,D2,900
GREEN,8,2,7.657445114,D3,900
GREEN,8,3,15.02416418,D4,900
GREEN,8,4,17.49899365,D3,900
GREEN,8,5,13.77907321,D3,900
GREEN,8,6,21.70649456,D3,900
GREEN,8,7,NA,D5,73
GREEN,8,8,14.50797929,D4,900
GREEN,8,9,18.55524882,D4,900
GREEN,8,10,15.43987265,D3,900
GREEN,8,11,NA,D5,439
GREEN,8,12,5.173226004,D5,600
GREEN,8,13,14.76247492,D4,900
GREEN,8,14,15.42837664,D2,900
GREEN,8,15,14.53531923,D2,900
GREEN,8,16,14.01180719,D4,900
GREEN,8,17,18.99207277,D4,900
GREEN,8,18,1.650364596,D5,61
GREEN,8,19,7.618225244,D4,900
GREEN,8,20,2.246309902,D5,41
GREEN,9,1,NA,D3,900
GREEN,9,2,34.72984876,D3,900
GREEN,9,3,33.29681994,D3,900
GREEN,9,4,27.06678152,D3,900
GREEN,9,5,NA,NA,900
GREEN,9,6,NA,D3,900
GREEN,9,7,NA,D2,900
GREEN,9,8,33.47299577,D3,900
GREEN,9,9,12.14748695,D1,900
GREEN,9,10,26.22698055,D2,900
GREEN,9,11,NA,NA,900
GREEN,9,12,40.20640502,D2,900
GREEN,9,13,33.62952351,D2,900
GREEN,9,14,21.98665261,D2,900
GREEN,9,15,33.66784612,D1,900
GREEN,9,16,38.52788224,D1,900
GREEN,9,17,44.18575109,D2,900
GREEN,9,18,42.341027,D2,900
GREEN,9,19,23.81661683,D3,900
GREEN,9,20,NA,NA,NA
GREEN,10,1,20.5550164,D1,900
GREEN,10,2,14.91194376,D2,900
GREEN,10,3,14.99619135,D1,900
GREEN,10,4,15.38742806,D1,900
GREEN,10,5,14.47208299,D1,900
GREEN,10,6,18.11767505,D1,900
GREEN,10,7,17.33577154,D1,900
GREEN,10,8,11.00160446,D2,900
GREEN,10,9,6.304371953,D1,900
GREEN,10,10,9.070095356,D1,900
GREEN,10,11,NA,NA,900
GREEN,10,12,5.19447656,D1,900
GREEN,10,13,12.90829308,D1,900
GREEN,10,14,10.47977569,D1,900
GREEN,10,15,NA,NA,900
GREEN,10,16,11.81263639,D1,900
GREEN,10,17,10.00001835,D1,900
GREEN,10,18,9.065996438,D1,900
GREEN,10,19,7.477921164,D1,900
GREEN,10,20,8.625641471,D1,900
